frame;year;path;particles;max_radius;energy_drift_percent;virial_ratio;represented_particles;visual_sample_particles;mode
70;503597122.30215824;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0070.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
71;510791366.9064749;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0071.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
72;517985611.51079136;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0072.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
73;525179856.1151079;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0073.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
74;532374100.7194245;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0074.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
75;539568345.323741;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0075.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
76;546762589.9280576;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0076.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
77;553956834.5323741;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0077.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
78;561151079.1366906;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0078.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
79;568345323.7410072;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0079.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
80;575539568.3453237;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0080.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
81;582733812.9496403;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0081.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
82;589928057.5539569;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0082.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
83;597122302.1582733;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0083.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
84;604316546.7625899;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0084.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
85;611510791.3669064;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0085.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
86;618705035.9712231;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0086.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
87;625899280.5755396;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0087.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
88;633093525.1798561;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0088.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
89;640287769.7841727;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0089.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
90;647482014.3884891;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0090.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
91;654676258.9928058;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0091.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
92;661870503.5971223;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0092.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
93;669064748.2014388;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0093.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
94;676258992.8057554;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0094.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
95;683453237.410072;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0095.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
96;690647482.0143886;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0096.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
97;697841726.618705;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0097.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
98;705035971.2230215;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0098.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
99;712230215.8273381;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0099.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
100;719424460.4316547;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0100.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
101;726618705.0359713;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0101.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
102;733812949.6402878;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0102.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
103;741007194.2446042;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0103.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
104;748201438.8489208;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0104.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
105;755395683.4532374;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0105.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
106;762589928.057554;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0106.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
107;769784172.6618705;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0107.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
108;776978417.2661871;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0108.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
109;784172661.8705037;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0109.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
110;791366906.4748201;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0110.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
111;798561151.0791367;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0111.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
112;805755395.6834532;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0112.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
113;812949640.2877698;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0113.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
114;820143884.8920864;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0114.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
115;827338129.4964029;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0115.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
116;834532374.1007195;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0116.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
117;841726618.7050359;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0117.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
118;848920863.3093525;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0118.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
119;856115107.9136691;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0119.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
120;863309352.5179856;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0120.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
121;870503597.1223022;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0121.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
122;877697841.7266186;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0122.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
123;884892086.3309354;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0123.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
124;892086330.9352518;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0124.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
125;899280575.5395683;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0125.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
126;906474820.1438849;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0126.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
127;913669064.7482014;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0127.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
128;920863309.3525181;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0128.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
129;928057553.9568346;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0129.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
130;935251798.561151;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0130.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
131;942446043.1654676;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0131.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
132;949640287.7697842;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0132.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
133;956834532.3741008;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0133.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
134;964028776.9784173;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0134.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
135;971223021.5827338;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0135.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
136;978417266.1870503;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0136.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
137;985611510.7913669;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0137.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
138;992805755.3956835;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0138.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
139;1000000000.0;gifs\scale_proxy_1e9\frames_scale_proxy\scale_frame_0139.png;250000;125.0;0.0;0.0;1000000000;250000;scale_proxy
