frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
15;150;3750.000000;1500;4;3.480504217281e+03;-9.397616090107e+03;-5.917111872826e+03;0.00780369;0.74072066;108.04935334;38.40300520;9.190470937900e-02;2.223580754682e+06;0
16;160;4000.000000;1500;4;3.590915094709e+03;-9.509022062774e+03;-5.918106968065e+03;-0.00901224;0.75526486;107.07077152;38.58388945;9.296808390969e-02;2.223580754682e+06;0
17;170;4250.000000;1500;4;3.544087039451e+03;-9.461236764027e+03;-5.917149724576e+03;0.00716404;0.74918050;106.10858676;39.04877402;9.242477728587e-02;2.223580754682e+06;0
18;180;4500.000000;1500;4;3.532525258064e+03;-9.449939513599e+03;-5.917414255535e+03;0.00269378;0.74762918;105.18143323;39.60013037;9.203387417394e-02;2.223580754682e+06;0
19;190;4750.000000;1500;4;3.462991426984e+03;-9.380179359511e+03;-5.917187932527e+03;0.00651837;0.73836358;104.30826495;40.29387685;9.096420789529e-02;2.223580754682e+06;0
20;200;5000.000000;1500;4;3.334339323522e+03;-9.250931734999e+03;-5.916592411477e+03;0.01658197;0.72086562;106.61308856;41.01116155;8.932830480142e-02;2.223580754682e+06;0
21;210;5250.000000;1500;4;3.394246652503e+03;-9.311524779389e+03;-5.917278126887e+03;0.00499419;0.72904207;109.69633183;41.25608666;8.990442962645e-02;2.223580754682e+06;0
22;220;5500.000000;1500;4;3.429306323247e+03;-9.346644268237e+03;-5.917337944990e+03;0.00398334;0.73380482;111.74911665;41.38822374;9.023880740696e-02;2.223580754682e+06;0
23;230;5750.000000;1500;4;3.401354952336e+03;-9.318829555258e+03;-5.917474602922e+03;0.00167398;0.72999617;113.12088844;41.53610019;8.984935542086e-02;2.223580754682e+06;0
24;240;6000.000000;1500;4;3.432789924909e+03;-9.350345371490e+03;-5.917555446581e+03;0.00030782;0.73425949;115.77202966;41.48369389;9.030099458346e-02;2.223580754682e+06;0
25;250;6250.000000;1500;4;3.474962575036e+03;-9.392252383829e+03;-5.917289808793e+03;0.00479678;0.73996363;117.47121640;41.34269991;9.085045389288e-02;2.223580754682e+06;0
26;260;6500.000000;1500;4;3.444807454642e+03;-9.361261176729e+03;-5.916453722086e+03;0.01892566;0.73597080;118.37644928;41.30790991;9.060202706375e-02;2.223580754682e+06;0
27;270;6750.000000;1500;4;3.507434144653e+03;-9.424509255866e+03;-5.917075111213e+03;0.00842492;0.74432186;120.18679108;41.20212849;9.124818648268e-02;2.223580754682e+06;0
28;280;7000.000000;1500;4;3.433777682075e+03;-9.350276397935e+03;-5.916498715860e+03;0.01816532;0.73447619;121.08095886;41.35988932;9.044154303915e-02;2.223580754682e+06;0
29;290;7250.000000;1500;4;3.423112634543e+03;-9.339455965778e+03;-5.916343331235e+03;0.02079113;0.73304326;121.06759590;41.39835453;9.032159804326e-02;2.223580754682e+06;0
30;300;7500.000000;1500;4;3.540144394679e+03;-9.458186085483e+03;-5.918041690803e+03;-0.00790913;0.74858844;121.46388192;41.25864809;9.157536215127e-02;2.223580754682e+06;0
31;310;7750.000000;1500;4;3.393424615126e+03;-9.310938025863e+03;-5.917513410737e+03;0.00101817;0.72891144;122.83250563;41.51645769;8.990734928779e-02;2.223580754682e+06;0
32;320;8000.000000;1500;4;3.423471708658e+03;-9.340777952138e+03;-5.917306243480e+03;0.00451906;0.73301640;123.64913771;41.40785715;9.028033478012e-02;2.223580754682e+06;0
