frame;step;year;particles;mpi_ranks;kinetic;potential;total_energy;energy_drift_percent;virial_ratio;max_radius;mean_radius;mean_speed;angular_momentum_norm;potential_is_estimated
10;100;2000.000000;2200;4;6.993037947833e+03;-1.780337343532e+04;-1.081033548748e+04;0.17905135;0.78558572;138.44561327;39.82580853;1.082313467724e-01;3.607950301300e+06;0
11;110;2200.000000;2200;4;7.186473295774e+03;-1.800257908365e+04;-1.081610578788e+04;0.12576930;0.79838264;132.76310207;39.57158374;1.095014405421e-01;3.607950301300e+06;0
12;120;2400.000000;2200;4;6.935145700937e+03;-1.775113492225e+04;-1.081598922131e+04;0.12684566;0.78137491;133.42339539;39.73469986;1.076889210742e-01;3.607950301300e+06;0
13;130;2600.000000;2200;4;7.004012849941e+03;-1.781798130142e+04;-1.081396845148e+04;0.14550513;0.78617355;134.22697963;39.80866252;1.080468051970e-01;3.607950301300e+06;0
14;140;2800.000000;2200;4;7.056886839237e+03;-1.786930366969e+04;-1.081241683045e+04;0.15983256;0.78983345;135.07690041;39.99191123;1.084438634723e-01;3.607950301300e+06;0
15;150;3000.000000;2200;4;6.904285301618e+03;-1.771905732992e+04;-1.081477202830e+04;0.13808503;0.77930616;135.91874838;40.43589892;1.069812320527e-01;3.607950301300e+06;0
16;160;3200.000000;2200;4;6.956034253064e+03;-1.776682165305e+04;-1.081078739998e+04;0.17487847;0.78303642;136.74627241;40.76087097;1.072522205601e-01;3.607950301300e+06;0
17;170;3400.000000;2200;4;6.759305971861e+03;-1.757020069496e+04;-1.081089472310e+04;0.17388746;0.76940566;137.55353679;41.28469364;1.057758934589e-01;3.607950301300e+06;0
18;180;3600.000000;2200;4;6.583622644290e+03;-1.739177033289e+04;-1.080814768860e+04;0.19925315;0.75709632;138.33493487;41.77839126;1.044636928175e-01;3.607950301300e+06;0
19;190;3800.000000;2200;4;6.679214117626e+03;-1.749258462188e+04;-1.081337050425e+04;0.15102648;0.76366235;139.08522433;41.95910315;1.048427273004e-01;3.607950301300e+06;0
20;200;4000.000000;2200;4;6.761627831644e+03;-1.757450567401e+04;-1.081287784237e+04;0.15557565;0.76948142;139.79954463;42.11087005;1.053492110542e-01;3.607950301300e+06;0
21;210;4200.000000;2200;4;6.928672175633e+03;-1.775047534919e+04;-1.082180317355e+04;0.07316053;0.78067455;140.47341000;42.20670386;1.066017714127e-01;3.607950301300e+06;0
22;220;4400.000000;2200;4;6.773930946081e+03;-1.759165968553e+04;-1.081772873945e+04;0.11078322;0.77012983;141.10271646;42.41226995;1.052705857536e-01;3.607950301300e+06;0
23;230;4600.000000;2200;4;6.688412740625e+03;-1.750197836047e+04;-1.081356561984e+04;0.14922482;0.76430362;142.43678734;42.51953654;1.047272900152e-01;3.607950301300e+06;0
24;240;4800.000000;2200;4;6.787930577877e+03;-1.759990029572e+04;-1.081196971785e+04;0.16396113;0.77136012;146.01466050;42.51411206;1.053255293959e-01;3.607950301300e+06;0
25;250;5000.000000;2200;4;6.639451940336e+03;-1.744982464966e+04;-1.081037270932e+04;0.17870765;0.76097635;148.70034359;42.64765704;1.043545286559e-01;3.607950301300e+06;0
26;260;5200.000000;2200;4;6.775148291959e+03;-1.758625840002e+04;-1.081111010806e+04;0.17189863;0.77050480;150.52550217;42.54743661;1.053992880993e-01;3.607950301300e+06;0
27;270;5400.000000;2200;4;6.637706205525e+03;-1.744896371546e+04;-1.081125750994e+04;0.17053754;0.76081380;151.81737419;42.59138417;1.043589586975e-01;3.607950301300e+06;0
28;280;5600.000000;2200;4;6.826419380491e+03;-1.763900520341e+04;-1.081258582292e+04;0.15827211;0.77401410;155.53547056;42.41752932;1.057116007133e-01;3.607950301300e+06;0
29;290;5800.000000;2200;4;6.626974123989e+03;-1.743917972406e+04;-1.081220560007e+04;0.16178303;0.76000984;159.02927090;42.47592630;1.043915557644e-01;3.607950301300e+06;0
30;300;6000.000000;2200;4;6.712920683807e+03;-1.752256467756e+04;-1.080964399375e+04;0.18543650;0.76620299;161.76073205;42.29160636;1.051034171475e-01;3.607950301300e+06;0
31;310;6200.000000;2200;4;6.751289878844e+03;-1.756080504371e+04;-1.080951516487e+04;0.18662609;0.76890437;163.75529071;42.18472373;1.054300756844e-01;3.607950301300e+06;0
32;320;6400.000000;2200;4;6.819209637092e+03;-1.763272190363e+04;-1.081351226653e+04;0.14971747;0.77347215;165.03072286;42.05949517;1.061494726212e-01;3.607950301300e+06;0
